Report ID	Title	Type	Date	Period	Status	Avg Congestion	Incidents	Signal Efficiency	Vehicles/Day
REP-1012	Traffic Analysis Report	custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)	custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)    custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)    custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)    custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)    custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191
REP-1012	Traffic Analysis Report (custom)    custom	09-02-2026	2024-01-01 to 2024-01-31	completed	58%	16	90%	52191








